21:06:09.978 [main] INFO  com.hcl.gim.baseutil.BaseTest - 
21:06:09.999 [main] INFO  com.hcl.gim.baseutil.BaseTest - Running locally JavaMail
21:06:10.499 [main] INFO  com.hcl.gim.baseutil.BaseTest - Folder creation for Extent
21:06:10.515 [main] INFO  com.hcl.gim.baseutil.BaseTest - ExtentDir:-C:\HCL-GIM-Harsha\GIM-App-Harsha1/reports/Automation Report- 02_24_2021_21_06_10/Report/02_24_2021_21_06_10
21:06:10.765 [main] INFO  com.hcl.gim.baseutil.BaseTest - Report Initiated
21:06:10.765 [main] INFO  com.hcl.gim.baseutil.BaseTest - Screenshot folder created
21:06:16.870 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - Chrome Browser is launched
21:06:18.317 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - Expected text : Log in. is matching with the : Log in. text in the application 
21:06:18.317 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - Log In page is displayed
21:06:18.320 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - Enter the value into User Id text box
21:06:18.567 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - 40136083 typed into User Id text box
21:06:18.568 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - Enter the value into Password text box
21:06:18.735 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - GIM@123# typed into Password text box
21:06:18.736 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - Validate Login button is clickable
21:06:19.837 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - Clicked on : Login button
21:06:20.505 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - GEO HR-Log in is successfull
21:06:20.589 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - Expected text : HR Partner Manual is matching with the : HR Partner Manual text in the application 
21:06:20.589 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - HR Partner Manual popup is displayed
21:06:20.590 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - Validate Close button on HCL Banner is clickable
21:06:20.751 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - Clicked on : Close button on HCL Banner
21:06:20.837 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - Home page is displayed, url= https://staging.myhcl.com/GIM/Home/Index, title= Home Page
21:06:20.844 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - Role: Employee
21:06:20.845 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - Validate Geo HR Initiate On Behalf Of Employee button is clickable
21:06:21.471 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - Clicked on : Geo HR Initiate On Behalf Of Employee button
21:06:21.530 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - Initiate Claim page is displayed, url= https://staging.myhcl.com/GIM/HRPartner/InitiateClaim, title= InitiateClaim
21:06:21.536 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - Wait for Select Claim type Drop down
21:06:21.666 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - Validate Select Claim type Drop down is clickable
21:06:22.116 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - Clicked on : Select Claim type Drop down
21:06:22.972 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - List of all Claim types from the Drop down is displayed.
21:06:22.988 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - Wait for Car parking Deduction
21:06:23.287 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - Able to mouse over on  Car parking Deduction
21:06:23.516 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - Clicked on : Car parking Deduction
21:06:23.547 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - Able to select Car parking Deduction from the Dropdown and default selection is Copy & Paste 
21:06:23.598 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - Expected text : Car parking Deduction is matching with the : Car parking Deduction text in the application 
21:06:23.599 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - Car parking Deduction is selected and default selection is Copy & Paste
