20:39:03.956 [main] INFO  com.hcl.gim.baseutil.BaseTest - 
20:39:03.963 [main] INFO  com.hcl.gim.baseutil.BaseTest - Running locally JavaMail
20:39:04.506 [main] INFO  com.hcl.gim.baseutil.BaseTest - Folder creation for Extent
20:39:04.563 [main] INFO  com.hcl.gim.baseutil.BaseTest - ExtentDir:-C:\HCL-GIM-Harsha\GIM-App-Harsha1/reports/Automation Report- 02_24_2021_20_39_04/Report/02_24_2021_20_39_04
20:39:04.691 [main] INFO  com.hcl.gim.baseutil.BaseTest - Report Initiated
20:39:04.695 [main] INFO  com.hcl.gim.baseutil.BaseTest - Screenshot folder created
20:39:09.921 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - Chrome Browser is launched
20:39:15.419 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - Expected text : Log in. is matching with the : Log in. text in the application 
20:39:15.419 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - Log In page is displayed
20:39:15.419 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - Enter the value into User Id text box
20:39:15.601 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - 40136083 typed into User Id text box
20:39:15.601 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - Enter the value into Password text box
20:39:15.810 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - GIM@123# typed into Password text box
20:39:15.811 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - Validate Login button is clickable
20:39:19.130 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - Clicked on : Login button
20:39:19.772 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - GEO HR-Log in is successfull
20:39:19.839 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - Expected text : HR Partner Manual is matching with the : HR Partner Manual text in the application 
20:39:19.840 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - HR Partner Manual popup is displayed
20:39:19.840 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - Validate Close button on HCL Banner is clickable
20:39:19.990 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - Clicked on : Close button on HCL Banner
20:39:20.091 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - Home page is displayed, url= https://staging.myhcl.com/GIM/Home/Index, title= Home Page
20:39:20.097 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - Role: Employee
20:39:20.098 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - Validate Geo HR Initiate On Behalf Of Employee button is clickable
20:39:20.763 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - Clicked on : Geo HR Initiate On Behalf Of Employee button
20:39:20.822 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - Initiate Claim page is displayed, url= https://staging.myhcl.com/GIM/HRPartner/InitiateClaim, title= InitiateClaim
20:39:20.827 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - Wait for Select Claim type Drop down
20:39:20.968 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - Validate Select Claim type Drop down is clickable
20:39:21.415 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - Clicked on : Select Claim type Drop down
20:39:22.337 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - List of all Claim types from the Drop down is displayed.
20:39:22.353 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - Wait for Car parking Deduction
20:39:22.585 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - Able to mouse over on  Car parking Deduction
20:39:22.784 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - Clicked on : Car parking Deduction
20:39:22.817 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - Able to select Car parking Deduction from the Dropdown and default selection is Copy & Paste 
20:39:22.870 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - Expected text : Car parking Deduction is matching with the : Car parking Deduction text in the application 
20:39:22.870 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - Car parking Deduction is selected and default selection is Copy & Paste
20:39:22.878 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - Scroll up
20:39:22.946 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - Wait for Download CarParkingDeduction Form Template link
20:39:23.074 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - Validate Download CarParkingDeduction Form Template link is clickable
20:39:23.205 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - Clicked on : Download CarParkingDeduction Form Template link
20:39:23.505 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - New File Created:ffd60e67-066d-4d5f-97ac-c99451962f66.tmp
20:39:23.565 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - New File Created:Claim (1).xlsx.crdownload
20:39:23.660 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - New File Created:Claim (1).xlsx
20:39:23.661 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - Downloaded file found with extension .xlsx. File name is Claim (1).xlsx
20:39:24.163 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - Downloaded document name is Claim (1).xlsx
20:39:24.165 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0001 - Template with Filename Claim (1).xlsx downloaded successfully
20:39:29.838 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0002 - Chrome Browser is launched
20:39:30.467 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0002 - Expected text : Log in. is matching with the : Log in. text in the application 
20:39:30.467 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0002 - Log In page is displayed
20:39:30.467 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0002 - Enter the value into User Id text box
20:39:30.685 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0002 - 40136083 typed into User Id text box
20:39:30.685 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0002 - Enter the value into Password text box
20:39:30.871 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0002 - GIM@123# typed into Password text box
20:39:30.872 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0002 - Validate Login button is clickable
20:39:31.982 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0002 - Clicked on : Login button
20:39:32.616 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0002 - GEO HR-Log in is successfull
20:39:32.688 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0002 - Expected text : HR Partner Manual is matching with the : HR Partner Manual text in the application 
20:39:32.689 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0002 - HR Partner Manual popup is displayed
20:39:32.689 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0002 - Validate Close button on HCL Banner is clickable
20:39:32.839 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0002 - Clicked on : Close button on HCL Banner
20:39:32.968 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0002 - Home page is displayed, url= https://staging.myhcl.com/GIM/Home/Index, title= Home Page
20:39:32.974 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0002 - Role: Employee
20:39:32.974 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0002 - Validate Geo HR Initiate On Behalf Of Employee button is clickable
20:39:33.642 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0002 - Clicked on : Geo HR Initiate On Behalf Of Employee button
20:39:33.712 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0002 - Initiate Claim page is displayed, url= https://staging.myhcl.com/GIM/HRPartner/InitiateClaim, title= InitiateClaim
20:39:33.718 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0002 - Wait for Select Claim type Drop down
20:39:33.857 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0002 - Validate Select Claim type Drop down is clickable
20:39:34.287 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0002 - Clicked on : Select Claim type Drop down
20:39:35.225 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0002 - List of all Claim types from the Drop down is displayed.
20:39:35.241 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0002 - Wait for Car parking Deduction
20:39:35.466 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0002 - Able to mouse over on  Car parking Deduction
20:39:35.658 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0002 - Clicked on : Car parking Deduction
20:39:35.689 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0002 - Able to select Car parking Deduction from the Dropdown and default selection is Copy & Paste 
20:39:35.770 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0002 - Expected text : Car parking Deduction is matching with the : Car parking Deduction text in the application 
20:39:35.771 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0002 - Car parking Deduction is selected and default selection is Copy & Paste
20:39:35.779 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0002 - Scroll up
20:39:35.816 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0002 - Wait for Download CarParkingDeduction Form Template link
20:39:35.937 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0002 - Validate Download CarParkingDeduction Form Template link is clickable
20:39:36.065 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0002 - Clicked on : Download CarParkingDeduction Form Template link
20:39:36.113 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0002 - New File Created:2c7220f9-7e20-4739-839f-066ebb799e43.tmp
20:39:36.180 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0002 - New File Created:Claim (2).xlsx.crdownload
20:39:36.304 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0002 - New File Created:Claim (2).xlsx
20:39:36.304 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0002 - Downloaded file found with extension .xlsx. File name is Claim (2).xlsx
20:39:36.805 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0002 - Downloaded document name is Claim (2).xlsx
20:39:36.805 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0002 - Template with Filename Claim (2).xlsx downloaded successfully
20:39:39.190 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0002 - Able to mouse over on Paste Your Content Here Text
20:39:49.352 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0002 - Wait for Upload Document Link
20:39:49.473 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0002 - Validate Upload Document Link is clickable
20:39:49.609 [main] INFO  com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0002 - Clicked on : Upload Document Link
20:40:06.661 [main] ERROR com.hcl.gim.testscripts.car_parking_deduction.TYSS_GIM_CPD_0002 - no such element: Unable to locate element: {"method":"xpath","selector":"//div[@class='dz-filename']/span"}
  (Session info: chrome=88.0.4324.190)
For documentation on this error, please visit: https://www.seleniumhq.org/exceptions/no_such_element.html
Build info: version: '3.141.59', revision: 'e82be7d358', time: '2018-11-14T08:25:53'
System info: host: 'HCLT-PC5929-1', ip: '10.98.101.172', os.name: 'Windows Server 2019', os.arch: 'amd64', os.version: '10.0', java.version: '11.0.9'
Driver info: org.openqa.selenium.chrome.ChromeDriver
