12:23:32.707 [main] INFO  com.hcl.gim.baseutil.BaseTest - 
12:23:32.719 [main] INFO  com.hcl.gim.baseutil.BaseTest - Running locally JavaMail
12:23:33.083 [main] INFO  com.hcl.gim.baseutil.BaseTest - Folder creation for Extent
12:23:33.215 [main] INFO  com.hcl.gim.baseutil.BaseTest - ExtentDir:-C:\HCL-GIM-Harsha\GIM-App-Harsha1/reports/Automation Report- 02_12_2021_12_23_33/Report/02_12_2021_12_23_33
12:23:33.488 [main] INFO  com.hcl.gim.baseutil.BaseTest - Report Initiated
12:23:33.493 [main] INFO  com.hcl.gim.baseutil.BaseTest - Screenshot folder created
12:23:41.972 [main] INFO  com.hcl.gim.testscripts.child_education.TYSS_GIM_CEA_0001 - Chrome Browser is launched
12:23:43.463 [main] INFO  com.hcl.gim.testscripts.child_education.TYSS_GIM_CEA_0001 - Expected text : Log in. is matching with the : Log in. text in the application 
12:23:43.464 [main] INFO  com.hcl.gim.testscripts.child_education.TYSS_GIM_CEA_0001 - Log In page is displayed
12:23:43.465 [main] INFO  com.hcl.gim.testscripts.child_education.TYSS_GIM_CEA_0001 - Enter the value into User Id text box
12:23:43.946 [main] INFO  com.hcl.gim.testscripts.child_education.TYSS_GIM_CEA_0001 - 40155497 typed into User Id text box
12:23:43.946 [main] INFO  com.hcl.gim.testscripts.child_education.TYSS_GIM_CEA_0001 - Enter the value into Password text box
12:23:44.295 [main] INFO  com.hcl.gim.testscripts.child_education.TYSS_GIM_CEA_0001 - GIM@123# typed into Password text box
12:23:44.296 [main] INFO  com.hcl.gim.testscripts.child_education.TYSS_GIM_CEA_0001 - Validate Login button is clickable
12:23:56.704 [main] INFO  com.hcl.gim.testscripts.child_education.TYSS_GIM_CEA_0001 - Clicked on : Login button
12:23:56.899 [main] INFO  com.hcl.gim.testscripts.child_education.TYSS_GIM_CEA_0001 - Employee-Log in is successfull
12:23:57.356 [main] INFO  com.hcl.gim.testscripts.child_education.TYSS_GIM_CEA_0001 - Expected text : HR Partner Manual is matching with the : HR Partner Manual text in the application 
12:23:57.357 [main] INFO  com.hcl.gim.testscripts.child_education.TYSS_GIM_CEA_0001 - HR Partner Manual popup is displayed
12:23:57.357 [main] INFO  com.hcl.gim.testscripts.child_education.TYSS_GIM_CEA_0001 - Validate Close button on HCL Banner is clickable
12:23:58.133 [main] INFO  com.hcl.gim.testscripts.child_education.TYSS_GIM_CEA_0001 - Clicked on : Close button on HCL Banner
12:23:58.667 [main] INFO  com.hcl.gim.testscripts.child_education.TYSS_GIM_CEA_0001 - My Claims page is displayed, url= https://staging.myhcl.com/GIM/Home/Index, title= Home Page
12:23:58.679 [main] INFO  com.hcl.gim.testscripts.child_education.TYSS_GIM_CEA_0001 - Role: Employee
12:23:58.680 [main] INFO  com.hcl.gim.testscripts.child_education.TYSS_GIM_CEA_0001 - Validate New Request button is clickable
12:23:59.477 [main] INFO  com.hcl.gim.testscripts.child_education.TYSS_GIM_CEA_0001 - Clicked on : New Request button
12:24:00.144 [main] INFO  com.hcl.gim.testscripts.child_education.TYSS_GIM_CEA_0001 - Select Input Type pop up is displayed
12:24:00.145 [main] INFO  com.hcl.gim.testscripts.child_education.TYSS_GIM_CEA_0001 - Validate Child Education Allowance button is clickable
12:24:03.871 [main] INFO  com.hcl.gim.testscripts.child_education.TYSS_GIM_CEA_0001 - Clicked on : Child Education Allowance button
12:24:04.049 [main] INFO  com.hcl.gim.testscripts.child_education.TYSS_GIM_CEA_0001 - Child Education Allowance Page is displayed
12:24:04.178 [main] INFO  com.hcl.gim.testscripts.child_education.TYSS_GIM_CEA_0001 - Expected attribute value : btn active is matching with the actual attribute value : btn active of one time registration
12:24:04.179 [main] INFO  com.hcl.gim.testscripts.child_education.TYSS_GIM_CEA_0001 - OneTimeRegistration is selected by default
12:24:04.179 [main] INFO  com.hcl.gim.testscripts.child_education.TYSS_GIM_CEA_0001 - Validate Child Name dropdown is clickable
12:24:04.644 [main] INFO  com.hcl.gim.testscripts.child_education.TYSS_GIM_CEA_0001 - Clicked on : Child Name dropdown
12:24:04.675 [main] INFO  com.hcl.gim.testscripts.child_education.TYSS_GIM_CEA_0001 - Validate Ramesh is clickable
12:24:04.915 [main] INFO  com.hcl.gim.testscripts.child_education.TYSS_GIM_CEA_0001 - Clicked on : Ramesh
12:24:05.227 [main] INFO  com.hcl.gim.testscripts.child_education.TYSS_GIM_CEA_0001 - Expected attribute value : selected is matching with the actual attribute value : selected of ChildName
12:24:05.228 [main] INFO  com.hcl.gim.testscripts.child_education.TYSS_GIM_CEA_0001 - Ramesh is Selected as childname
12:24:06.260 [main] INFO  com.hcl.gim.testscripts.child_education.TYSS_GIM_CEA_0001 - Validate 2020 - 2021 is clickable
12:24:06.497 [main] INFO  com.hcl.gim.testscripts.child_education.TYSS_GIM_CEA_0001 - Clicked on : 2020 - 2021
