13:08:32.855 [main] INFO  com.hcl.gim.baseutil.BaseTest - 
13:08:32.861 [main] INFO  com.hcl.gim.baseutil.BaseTest - Running locally JavaMail
13:08:32.956 [main] INFO  com.hcl.gim.baseutil.BaseTest - Folder creation for Extent
13:08:32.981 [main] INFO  com.hcl.gim.baseutil.BaseTest - ExtentDir:-C:\HCL-GIM-Harsha\GIM-App-Harsha1/reports/Automation Report- 02_26_2021_13_08_32/Report/02_26_2021_13_08_32
13:08:33.137 [main] INFO  com.hcl.gim.baseutil.BaseTest - Report Initiated
13:08:33.140 [main] INFO  com.hcl.gim.baseutil.BaseTest - Screenshot folder created
13:08:38.472 [main] INFO  com.hcl.gim.testscripts.exgratia_language_allowance.TYSS_GIM_ELA_0008 - Chrome Browser is launched
13:08:39.936 [main] INFO  com.hcl.gim.testscripts.exgratia_language_allowance.TYSS_GIM_ELA_0008 - Expected text : Log in. is matching with the : Log in. text in the application 
13:08:39.936 [main] INFO  com.hcl.gim.testscripts.exgratia_language_allowance.TYSS_GIM_ELA_0008 - Log In page is displayed
13:08:39.937 [main] INFO  com.hcl.gim.testscripts.exgratia_language_allowance.TYSS_GIM_ELA_0008 - Enter the value into User Id text box
13:08:40.175 [main] INFO  com.hcl.gim.testscripts.exgratia_language_allowance.TYSS_GIM_ELA_0008 - 40136083 typed into User Id text box
13:08:40.175 [main] INFO  com.hcl.gim.testscripts.exgratia_language_allowance.TYSS_GIM_ELA_0008 - Enter the value into Password text box
13:08:40.396 [main] INFO  com.hcl.gim.testscripts.exgratia_language_allowance.TYSS_GIM_ELA_0008 - GIM@123# typed into Password text box
13:08:40.396 [main] INFO  com.hcl.gim.testscripts.exgratia_language_allowance.TYSS_GIM_ELA_0008 - Validate Login button is clickable
13:08:42.862 [main] INFO  com.hcl.gim.testscripts.exgratia_language_allowance.TYSS_GIM_ELA_0008 - Clicked on : Login button
13:08:43.586 [main] INFO  com.hcl.gim.testscripts.exgratia_language_allowance.TYSS_GIM_ELA_0008 - GEO HR-Log in is successfull
13:08:43.657 [main] INFO  com.hcl.gim.testscripts.exgratia_language_allowance.TYSS_GIM_ELA_0008 - Expected text : HR Partner Manual is matching with the : HR Partner Manual text in the application 
13:08:43.657 [main] INFO  com.hcl.gim.testscripts.exgratia_language_allowance.TYSS_GIM_ELA_0008 - HR Partner Manual popup is displayed
