17:16:39.626 [main] INFO  com.hcl.gim.baseutil.BaseTest - 
17:16:39.639 [main] INFO  com.hcl.gim.baseutil.BaseTest - Running locally JavaMail
17:16:39.740 [main] INFO  com.hcl.gim.baseutil.BaseTest - Folder creation for Extent
17:16:39.817 [main] INFO  com.hcl.gim.baseutil.BaseTest - ExtentDir:-C:\HCL-GIM-Harsha\GIM-App-Harsha1/reports/Automation Report- 02_24_2021_17_16_39/Report/02_24_2021_17_16_39
17:16:40.115 [main] INFO  com.hcl.gim.baseutil.BaseTest - Report Initiated
17:16:40.121 [main] INFO  com.hcl.gim.baseutil.BaseTest - Screenshot folder created
17:16:46.524 [main] INFO  com.hcl.gim.testscripts.retention_bonus.TYSS_GIM_RB_0005 - Chrome Browser is launched
17:16:53.112 [main] INFO  com.hcl.gim.testscripts.retention_bonus.TYSS_GIM_RB_0005 - Expected text : Log in. is matching with the : Log in. text in the application 
17:16:53.113 [main] INFO  com.hcl.gim.testscripts.retention_bonus.TYSS_GIM_RB_0005 - Log In page is displayed
17:16:53.113 [main] INFO  com.hcl.gim.testscripts.retention_bonus.TYSS_GIM_RB_0005 - Enter the value into User Id text box
17:16:53.364 [main] INFO  com.hcl.gim.testscripts.retention_bonus.TYSS_GIM_RB_0005 - 40136083 typed into User Id text box
17:16:53.364 [main] INFO  com.hcl.gim.testscripts.retention_bonus.TYSS_GIM_RB_0005 - Enter the value into Password text box
17:16:53.585 [main] INFO  com.hcl.gim.testscripts.retention_bonus.TYSS_GIM_RB_0005 - GIM@123# typed into Password text box
17:16:53.586 [main] INFO  com.hcl.gim.testscripts.retention_bonus.TYSS_GIM_RB_0005 - Validate Login button is clickable
17:17:05.415 [main] INFO  com.hcl.gim.testscripts.retention_bonus.TYSS_GIM_RB_0005 - Clicked on : Login button
17:17:06.186 [main] INFO  com.hcl.gim.testscripts.retention_bonus.TYSS_GIM_RB_0005 - GEO HR-Log in is successfull
17:17:06.379 [main] INFO  com.hcl.gim.testscripts.retention_bonus.TYSS_GIM_RB_0005 - Expected text : HR Partner Manual is matching with the : HR Partner Manual text in the application 
17:17:06.381 [main] INFO  com.hcl.gim.testscripts.retention_bonus.TYSS_GIM_RB_0005 - HR Partner Manual popup is displayed
17:17:06.381 [main] INFO  com.hcl.gim.testscripts.retention_bonus.TYSS_GIM_RB_0005 - Validate Close button on HCL Banner is clickable
17:17:06.743 [main] INFO  com.hcl.gim.testscripts.retention_bonus.TYSS_GIM_RB_0005 - Clicked on : Close button on HCL Banner
